Nivel,Concepto,RENTAS GENERALES,AFECTACION ESPECIFICA,TOTAL 
0,TOTAL DE RECURSOS,19613839065,474689392,20088528457
1,INGRESOS CORRIENTES,17789839065,474689392,18264528457
1.01,DE JURISDICCION MUNICIPAL,10189558151,225510204,10415068355
1.01.01,TASAS Y DERECHOS SOBRE EL PATRIMONIO,3095407601,175000000,3270407601
1.01.01.01,Contribución que incide sobre los Inmuebles,2131036673,0,2131036673
1.01.01.02,Derechos de Catastro,12511302,0,12511302
1.01.01.03,Contribución que incide sobre la Energía Eléctrica,420000000,0,420000000
1.01.01.04,Contribución que incide sobre la Construcción de Obras Privadas,117492059,0,117492059
1.01.01.05,Contribución para la Financiación del Desarrollo Local y Regional de Obras de Gas Natural y Otras de Interés General,0,75000000,75000000
1.01.01.06,Contribución que incide sobre los Inmuebles para la Construcción de Obras de Desague Pluvial,386891013,0,386891013
1.01.01.07,Tasa de Saneamiento y Protección Ambiental,0,0,0
1.01.01.08,Contribución para la Financiación del Desarrollo de la Infraestructura Sanitaria y Cloacal,0,100000000,100000000
1.01.01.09,Derecho de Conexión a Redes Distribuidoras de Gas     ,27476554,0,27476554
1.01.02,"CONTRIBUCION QUE INCIDE SOBRE EL COMERCIO, INDUSTRIA Y ACTIVIDADES LUCRATIVAS",5257426689,20400000,5277826689
1.01.02.01,"Contribución que incide sobre la Actividad Comercial, Industrial y de Servicios",5200000000,0,5200000000
1.01.02.02,Contribución que incide sobre la Ocupación o Utilización de Espacios del Dominio Público,54000000,5400000,59400000
1.01.02.03,Contribución que incide sobre los Mercados,1275211,0,1275211
1.01.02.04,"Municipalidad de Córdoba - ""Mercado de Abasto Ordenanza N° 11.088""",2151478,0,2151478
1.01.02.05,"Fondo de Promoción y Competitividad – “Ordenanza Nº 11.232""",0,15000000,15000000
1.01.03,DERECHOS DE INSPECCION Y CONTROL DE VEHÍCULOS Y EMPRESAS DE TRANSPORTE,990955042,0,990955042
1.01.03.02,Contribución que incide sobre los Prestatarios del Servicio de Transporte Colectivo,1494226,0,1494226
1.01.03.05,Contribución que incide sobre la Habilitación y Transferencia del Servicio Público de Taxi,59789167,0,59789167
1.01.03.08,Contribución que incide sobre los Automotores,929671649,0,929671649
1.01.04,TASAS Y DERECHOS SOBRE LOS CEMENTERIOS,27013061,0,27013061
1.01.04.01,Contribución que incide sobre los Cementerios,27013061,0,27013061
1.01.05,DERECHOS SOBRE LOS ESPECTACULOS PUBLICOS y JUEGOS DE AZAR,45293609,0,45293609
1.01.05.01,Contribución que incide sobre los Espectáculos y Diversiones Públicas,45293609,0,45293609
1.01.05.02,Contribución que incide sobre la Publicidad y Propaganda,0,0,0
1.01.06,CONTRIBUCION DE MEJORAS,127836,0,127836
1.01.06.01,Contribución de Mejoras - Obras Públicas por Concesión,0,0,0
1.01.06.02,Contribución de Mejoras - Obras por Contratación y/o Administración a Cargo de Propietarios Beneficiados,127836,0,127836
1.01.06.03,Contribucion de Mejoras - Obras PR.A.M.,0,0,0
1.01.07,MULTAS Y OTROS DERECHOS Y TASAS,404557251,442780,405000031
1.01.07.01,Multas,74100000,0,74100000
1.01.07.03,Tasas de Actuación Administrativa,118300000,0,118300000
1.01.07.04,Ingresos por Infracciones de Tránsito,90907910,0,90907910
1.01.07.05,Fondo de Seguridad Vial - Ordenanza 9981/98,0,0,0
1.01.07.06,Fondo de Mejora del Sistema de Transporte Automotor de la Ciudad de Córdoba,722907,0,722907
1.01.07.08,Derechos Conexión Cloacas,39000000,0,39000000
1.01.07.09,Ingreso por Emisión de Carnet de Conducir,76526434,0,76526434
1.01.07.10,Aforo por Inscripción a Concursos para la Administración Pública,0,442780,442780
1.01.07.11,Ingresos por estadia de vehiculos demorados y elementos o bienes incautados,5000000,0,5000000
1.01.08,OTROS INGRESOS CORRIENTES,368777062,0,368777062
1.01.08.01,Ingresos por Colocaciones Financieras,48100000,0,48100000
1.01.08.02,Ingresos Eventuales,26677062,0,26677062
1.01.08.03,Fondo solidario de inclusión social – FO.S.I.S.,294000000,0,294000000
1.01.09,INGRESOS CUENTAS CON AFECTACION ESPECIFICA,0,29667424,29667424
1.01.09.01,Ingresos Estacionamiento Medido Ord. 10.804,0,15000000,15000000
1.01.09.02,Ingresos Cuenta Especial CPC Ord. 10.020,0,2232000,2232000
1.01.09.03,Ingresos Cuenta Direccion de Deporte Ord. 9.311,0,5000000,5000000
1.01.09.04,Ingresos Cuenta Secretaria de Cultura Ord. 11.549,0,421200,421200
1.01.09.05,Ingresos Cuenta Especial Ambiente Ord 10.607,0,14224,14224
1.01.09.06,Ingresos Playas Estacionamiento Municipal,0,5000000,5000000
1.01.09.07,Fondo de Apoyo a la Infrestructura Deportiva - Ord. 12.438,0,2000000,2000000
1.02,DE OTRAS JURISDICCIONES,7600280915,249179188,7849460103
1.02.01,DE JURISDICCION NACIONAL Y PROVINCIAL,7600280915,249179188,7849460103
1.02.01.01,Coparticipación de Impuestos Nacionales y Provinciales,4399868358,0,4399868358
1.02.01.02,Fondo Federal Solidario,0,233176838,233176838
1.02.01.03,Fondo Materno Infantil y Nutrición -PROMIN- Ordenanza N° 9610/96,0,0,0
1.02.01.04,Fondo de Financiamiento de la Descentralización Provincial,471150000,0,471150000
1.02.01.05,Aporte no reintegrables - Plan Federal,0,0,0
1.02.01.06,Aportes no Reintegrables - Situaciones de Emergencia,0,0,0
1.02.01.07,"Aporte Nacional no Reintegrable - ""Plan Alimentario""",0,0,0
